"Count","Name","Path"
"952","Az.NewRelic","C:\Program Files\WindowsPowerShell\Modules\Az.NewRelic"
"952","Az.Nginx","C:\Program Files\WindowsPowerShell\Modules\Az.Nginx"
"952","Az.NotificationHubs","C:\Program Files\WindowsPowerShell\Modules\Az.NotificationHubs"
"952","Az.OperationalInsights","C:\Program Files\WindowsPowerShell\Modules\Az.OperationalInsights"
"952","Az.Oracle","C:\Program Files\WindowsPowerShell\Modules\Az.Oracle"
"952","Az.Orbital","C:\Program Files\WindowsPowerShell\Modules\Az.Orbital"
"952","Az.PaloAltoNetworks","C:\Program Files\WindowsPowerShell\Modules\Az.PaloAltoNetworks"
"952","Az.Peering","C:\Program Files\WindowsPowerShell\Modules\Az.Peering"
"952","Az.PolicyInsights","C:\Program Files\WindowsPowerShell\Modules\Az.PolicyInsights"
"952","Az.Portal","C:\Program Files\WindowsPowerShell\Modules\Az.Portal"
"952","Az.PostgreSql","C:\Program Files\WindowsPowerShell\Modules\Az.PostgreSql"
"952","Az.PowerBIEmbedded","C:\Program Files\WindowsPowerShell\Modules\Az.PowerBIEmbedded"
"952","Az.PrivateDns","C:\Program Files\WindowsPowerShell\Modules\Az.PrivateDns"
"952","Az.ProviderHub","C:\Program Files\WindowsPowerShell\Modules\Az.ProviderHub"
"952","Az.Purview","C:\Program Files\WindowsPowerShell\Modules\Az.Purview"
"952","Az.Quantum","C:\Program Files\WindowsPowerShell\Modules\Az.Quantum"
"952","Az.Qumulo","C:\Program Files\WindowsPowerShell\Modules\Az.Qumulo"
"952","Az.Quota","C:\Program Files\WindowsPowerShell\Modules\Az.Quota"
"952","Az.RecoveryServices","C:\Program Files\WindowsPowerShell\Modules\Az.RecoveryServices"
"952","Az.RedisCache","C:\Program Files\WindowsPowerShell\Modules\Az.RedisCache"
"952","Az.RedisEnterpriseCache","C:\Program Files\WindowsPowerShell\Modules\Az.RedisEnterpriseCache"
"952","Az.Relay","C:\Program Files\WindowsPowerShell\Modules\Az.Relay"
"952","Az.Reservations","C:\Program Files\WindowsPowerShell\Modules\Az.Reservations"
"952","Az.ResourceGraph","C:\Program Files\WindowsPowerShell\Modules\Az.ResourceGraph"
"952","Az.ResourceMover","C:\Program Files\WindowsPowerShell\Modules\Az.ResourceMover"
"952","Az.Resources","C:\Program Files\WindowsPowerShell\Modules\Az.Resources"
"952","Az.RuntimeEnvironment","C:\Program Files\WindowsPowerShell\Modules\Az.RuntimeEnvironment"
"952","Az.Search","C:\Program Files\WindowsPowerShell\Modules\Az.Search"
"952","Az.Security","C:\Program Files\WindowsPowerShell\Modules\Az.Security"
"952","Az.SecurityInsights","C:\Program Files\WindowsPowerShell\Modules\Az.SecurityInsights"
"952","Az.SelfHelp","C:\Program Files\WindowsPowerShell\Modules\Az.SelfHelp"
"952","Az.ServiceBus","C:\Program Files\WindowsPowerShell\Modules\Az.ServiceBus"
"952","Az.ServiceFabric","C:\Program Files\WindowsPowerShell\Modules\Az.ServiceFabric"
"952","Az.ServiceLinker","C:\Program Files\WindowsPowerShell\Modules\Az.ServiceLinker"
"952","Az.SignalR","C:\Program Files\WindowsPowerShell\Modules\Az.SignalR"
"952","Az.Sphere","C:\Program Files\WindowsPowerShell\Modules\Az.Sphere"
"952","Az.SpringCloud","C:\Program Files\WindowsPowerShell\Modules\Az.SpringCloud"
"952","Az.Sql","C:\Program Files\WindowsPowerShell\Modules\Az.Sql"
"952","Az.SqlVirtualMachine","C:\Program Files\WindowsPowerShell\Modules\Az.SqlVirtualMachine"
"952","Az.Ssh","C:\Program Files\WindowsPowerShell\Modules\Az.Ssh"
"952","Az.Ssh.ArcProxy","C:\Program Files\WindowsPowerShell\Modules\Az.Ssh.ArcProxy"
"952","Az.StackHCI","C:\Program Files\WindowsPowerShell\Modules\Az.StackHCI"
"952","Az.StackHCI.NetworkHUD","C:\Program Files\WindowsPowerShell\Modules\Az.StackHCI.NetworkHUD"
"952","Az.StackHCIVM","C:\Program Files\WindowsPowerShell\Modules\Az.StackHCIVM"
"952","Az.StandbyPool","C:\Program Files\WindowsPowerShell\Modules\Az.StandbyPool"
"952","Az.Storage","C:\Program Files\WindowsPowerShell\Modules\Az.Storage"
"952","Az.StorageAction","C:\Program Files\WindowsPowerShell\Modules\Az.StorageAction"
"952","Az.StorageCache","C:\Program Files\WindowsPowerShell\Modules\Az.StorageCache"
"952","Az.StorageMover","C:\Program Files\WindowsPowerShell\Modules\Az.StorageMover"
"952","Az.StorageSync","C:\Program Files\WindowsPowerShell\Modules\Az.StorageSync"
"952","Az.StorageTable","C:\Program Files\WindowsPowerShell\Modules\Az.StorageTable"
"952","Az.StreamAnalytics","C:\Program Files\WindowsPowerShell\Modules\Az.StreamAnalytics"
"952","Az.Subscription","C:\Program Files\WindowsPowerShell\Modules\Az.Subscription"
"952","Az.Support","C:\Program Files\WindowsPowerShell\Modules\Az.Support"
"952","Az.Synapse","C:\Program Files\WindowsPowerShell\Modules\Az.Synapse"
"952","Az.TimeSeriesInsights","C:\Program Files\WindowsPowerShell\Modules\Az.TimeSeriesInsights"
"952","Az.Tools.Installer","C:\Program Files\WindowsPowerShell\Modules\Az.Tools.Installer"
"952","Az.Tools.Migration","C:\Program Files\WindowsPowerShell\Modules\Az.Tools.Migration"
"952","Az.Tools.Predictor","C:\Program Files\WindowsPowerShell\Modules\Az.Tools.Predictor"
"952","Az.TrafficManager","C:\Program Files\WindowsPowerShell\Modules\Az.TrafficManager"
"952","Az.VMware","C:\Program Files\WindowsPowerShell\Modules\Az.VMware"
"952","Az.VoiceServices","C:\Program Files\WindowsPowerShell\Modules\Az.VoiceServices"
"952","Az.Websites","C:\Program Files\WindowsPowerShell\Modules\Az.Websites"
"952","Az.WindowsIotServices","C:\Program Files\WindowsPowerShell\Modules\Az.WindowsIotServices"
"952","Az.Workloads","C:\Program Files\WindowsPowerShell\Modules\Az.Workloads"
