"Type","Name","Command"
,"Microsoft.Azure.ActiveDirectory.PIM.PSModule",
,"Microsoft.AzureBlockchainService.ConsortiumManagement.PS",
,"Microsoft.AzureStack.HCI.CSSTools",
,"Microsoft.AzureStack.ReadinessChecker",
,"Microsoft.AzureStack.Util.ConvertNetwork",
,"Microsoft.Graph.Applications",
,"Microsoft.Graph.Authentication",
,"Microsoft.Graph.Beta.Applications",
,"Microsoft.Graph.Beta.DeviceManagement",
,"Microsoft.Graph.Beta.DeviceManagement.Actions",
,"Microsoft.Graph.Beta.DeviceManagement.Administration",
,"Microsoft.Graph.Beta.Groups",
,"Microsoft.Graph.Beta.Identity.DirectoryManagement",
,"Microsoft.Graph.Beta.Identity.SignIns",
,"Microsoft.Graph.Beta.Reports",
,"Microsoft.Graph.Beta.Users",
,"Microsoft.Graph.Beta.Users.Actions",
,"Microsoft.Graph.DeviceManagement.Enrolment",
,"Microsoft.Graph.DirectoryObjects",
,"Microsoft.Graph.Groups",
,"Microsoft.Graph.Identity.DirectoryManagement",
,"Microsoft.Graph.Identity.SignIns",
,"Microsoft.Graph.Users",
,"Microsoft.Graph.Users.Actions",
,"Microsoft.Online.SharePoint.PowerShell",
,"Microsoft.PowerShell.Operation.Validation",
,"Microsoft.PowerShell.PSResourceGet",
,"Microsoft.PowerShell.SecretManagement",
,"Microsoft.PowerShell.SecretStore",
,"Microsoft.SME.CredSspPolicy",
,"MicrosoftTeams",
,"MigrateTo-AzureRM",
,"MrAAzure",
,"MSAL.PS",
,"MSGraphStuff",
,"MSOnline",
,"NetworkingDsc",
,"New-AzureRMRESTApiAuthenticationToken",
,"NewAzDoServiceConnection",
,"Noveris.AzAuto",
,"OfficeAndAzureTools",
,"Om.Azure",
,"Om.Azure.Management",
,"Optimized.AzAutomation",
,"Optimized.Mga",
,"Optimized.Mga.AzureAD",
,"OriAzBopBoostrapOriPsgallery",
,"OSDCloudAzure",
,"PackageManagement",
,"pcit.az.rbac",
,"Pester",
,"pf-azFuncDeploy",
,"pf-AzPipelines",
,"Pinja.Azure.Alerts",
,"PipelinesAzureAgent",
,"PnP.PowerShell",
,"posh-azure",
,"posh-azurecli",
,"Posh-AzureDevOps",
,"PoshBot",
,"PoshBot.AzDos",
,"PoshBot.AzureAD",
,"PowerHTML",
,"powershell-az",
,"powershell-yaml",
,"PowerShell.Azure.Data.Explorer",
,"PowerShell.AzureDevOps",
,"PowerShellAzureFunctions",
,"PowerShellGet",
,"PPL.AzUtils",
,"ProductivityTools.AzureAutomation",
,"ProductivityTools.MasterConfiguration",
,"Provance.Azure",
,"ps-azure-container-registry",
,"ps-AzureFaceAPI",
,"ps-vmware-az-assessment",
,"psAzD",
,"psazdevtestlabs",
,"PSAzureAppConfiguration",
,"PsAzureCli",
,"PSAzureDatabricks",
,"PsAzureDevOps",
,"PSAzureFunctions",
,"PSAzureMigrationAdvisor",
,"PSAzurePipelinesCITemplate",
,"PSAzureQueue",
,"PSAzureSignTool",
,"PSAzureToolkit",
,"PSAzureUtils",
,"PSDocs",
,"PSDocs.Azure",
,"psengine.azure.tables",
,"PSFramework",
,"PSGraph",
,"PSHelpFunctions",
,"PsiPS.AzureAutomation",
,"PSLoggingFunctions",
,"PSP-AzureInventory",
,"PSParseHTML",
,"pspulumiyaml",
,"pspulumiyaml.azurenative",
,"pspulumiyaml.azurenative.aad",
,"pspulumiyaml.azurenative.aadiam",
,"pspulumiyaml.azurenative.addons",
,"pspulumiyaml.azurenative.advisor",
,"pspulumiyaml.azurenative.agfoodplatform",
,"pspulumiyaml.azurenative.alertsmanagement",
,"pspulumiyaml.azurenative.analysisservices",
,"pspulumiyaml.azurenative.apimanagement",
,"pspulumiyaml.azurenative.app",
,"pspulumiyaml.azurenative.appconfiguration",
,"pspulumiyaml.azurenative.appplatform",
,"pspulumiyaml.azurenative.attestation",
,"pspulumiyaml.azurenative.authorization",
,"pspulumiyaml.azurenative.automanage",
,"pspulumiyaml.azurenative.automation",
,"pspulumiyaml.azurenative.autonomousdevelopmentplatform",
,"pspulumiyaml.azurenative.avs",
,"pspulumiyaml.azurenative.azureactivedirectory",
,"pspulumiyaml.azurenative.azurearcdata",
,"pspulumiyaml.azurenative.azuredata",
,"pspulumiyaml.azurenative.azurestack",
,"pspulumiyaml.azurenative.azurestackhci",
,"pspulumiyaml.azurenative.batch",
,"pspulumiyaml.azurenative.billing",
,"pspulumiyaml.azurenative.blockchain",
,"pspulumiyaml.azurenative.blueprint",
,"pspulumiyaml.azurenative.botservice",
,"pspulumiyaml.azurenative.cache",
,"pspulumiyaml.azurenative.cdn",
,"pspulumiyaml.azurenative.certificateregistration",
,"pspulumiyaml.azurenative.changeanalysis",
,"pspulumiyaml.azurenative.chaos",
,"pspulumiyaml.azurenative.cognitiveservices",
,"pspulumiyaml.azurenative.communication",
,"pspulumiyaml.azurenative.compute",
,"pspulumiyaml.azurenative.confidentialledger",
,"pspulumiyaml.azurenative.confluent",
,"pspulumiyaml.azurenative.connectedvmwarevsphere",
,"pspulumiyaml.azurenative.consumption",
,"pspulumiyaml.azurenative.containerinstance",
,"pspulumiyaml.azurenative.containerregistry",
,"pspulumiyaml.azurenative.containerservice",
,"pspulumiyaml.azurenative.costmanagement",
,"pspulumiyaml.azurenative.customerinsights",
,"pspulumiyaml.azurenative.customproviders",
,"pspulumiyaml.azurenative.dashboard",
,"pspulumiyaml.azurenative.databox",
,"pspulumiyaml.azurenative.databoxedge",
,"pspulumiyaml.azurenative.databricks",
,"pspulumiyaml.azurenative.datacatalog",
,"pspulumiyaml.azurenative.datadog",
,"pspulumiyaml.azurenative.datafactory",
,"pspulumiyaml.azurenative.datalakeanalytics",
,"pspulumiyaml.azurenative.datalakestore",
,"pspulumiyaml.azurenative.datamigration",
,"pspulumiyaml.azurenative.dataprotection",
,"pspulumiyaml.azurenative.datashare",
,"pspulumiyaml.azurenative.dbformariadb",
,"pspulumiyaml.azurenative.dbformysql",
,"pspulumiyaml.azurenative.dbforpostgresql",
,"pspulumiyaml.azurenative.delegatednetwork",
,"pspulumiyaml.azurenative.deploymentmanager",
,"pspulumiyaml.azurenative.desktopvirtualization",
,"pspulumiyaml.azurenative.devhub",
,"pspulumiyaml.azurenative.devices",
,"pspulumiyaml.azurenative.deviceupdate",
,"pspulumiyaml.azurenative.devops",
,"pspulumiyaml.azurenative.devspaces",
,"pspulumiyaml.azurenative.devtestlab",
,"pspulumiyaml.azurenative.digitaltwins",
,"pspulumiyaml.azurenative.documentdb",
,"pspulumiyaml.azurenative.domainregistration",
,"pspulumiyaml.azurenative.dynamics365fraudprotection",
,"pspulumiyaml.azurenative.edgeorder",
,"pspulumiyaml.azurenative.education",
,"pspulumiyaml.azurenative.elastic",
,"pspulumiyaml.azurenative.elasticsan",
,"pspulumiyaml.azurenative.engagementfabric",
,"pspulumiyaml.azurenative.enterpriseknowledgegraph",
,"pspulumiyaml.azurenative.eventgrid",
,"pspulumiyaml.azurenative.eventhub",
,"pspulumiyaml.azurenative.extendedlocation",
,"pspulumiyaml.azurenative.features",
